time,src_ip,useragent,connection,http_method,request_scheme,http_status,dest_host,url,url_path,mimetype,content_type,url_query,cookies,data,referrer,authorisation,duration,request_id,user,dest_port,content_md5
2023-04-07T11:50:59.421402+03:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:81/,/,,,b'',ImmutableMultiDict([]),b'',,,0.00899505615234375,,,81,
2023-04-07T11:50:59.513401+03:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:81/static/css/custom.css,/static/css/custom.css,,,b'',ImmutableMultiDict([]),b'',http://127.0.0.1:81/,,0.07203364372253418,,,81,
81,
2023-04-07T11:50:59.940596+03:00,127.0.0.1,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/111.0.0.0 Safari/537.36",keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:81/static/favicon.ico,/static/favicon.ico,,,b'',"ImmutableMultiDict([('_ga', 'GA1.1.628128026.1680857460'), ('_gid', 'GA1.1.571898657.1680857460'), ('_gat_gtag_UA_163610532_1', '1')])",b'',http://127.0.0.1:81/,,0.0010051727294921875,,,81,
2023-04-07T11:51:01.949960+03:00,127.0.0.1,python-requests/2.28.2,keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:81/api/people/1/,/api/people/1/,,,b'',ImmutableMultiDict([]),b'',,,0.0,,,81,
2023-04-07T11:51:01.961220+03:00,127.0.0.1,python-requests/2.28.2,keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:81/api/people/47/,/api/people/47/,,,b'',ImmutableMultiDict([]),b'',,,0.0,,,81,
2023-04-07T11:51:01.973482+03:00,127.0.0.1,python-requests/2.28.2,keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:81/api/people/100/,/api/people/100/,,,b'',ImmutableMultiDict([]),b'',,,0.001001596450805664,,,81,
2023-04-07T11:51:03.986480+03:00,127.0.0.1,python-requests/2.28.2,keep-alive,GET,http,404,127.0.0.1,http://127.0.0.1:81/api/people/0/,/api/people/0/,,,b'',ImmutableMultiDict([]),b'',,,0.0,,,81,
2023-04-07T11:51:03.995958+03:00,127.0.0.1,python-requests/2.28.2,keep-alive,GET,http,404,127.0.0.1,http://127.0.0.1:81/api/people/101/,/api/people/101/,,,b'',ImmutableMultiDict([]),b'',,,0.0010006427764892578,,,81,
2023-04-07T11:51:06.009539+03:00,127.0.0.1,python-requests/2.28.2,keep-alive,GET,http,200,127.0.0.1,http://127.0.0.1:81/api/planets/1/,/api/planets/1/,,,b'',ImmutableMultiDict([]),b'',,,0.0010309219360351562,,,81,
